Experiment,Split,user-reg,item-reg,num-factors,NormalizedDCGEvaluator,ndcg_metric.py
exp00000,0,0.001,0.001,20.0,0.11890135168433048,0.09557847667212087
exp00000,1,0.001,0.001,20.0,0.12061595222284674,0.11227857498049149
exp00000,2,0.001,0.001,20.0,0.1279901400180025,0.10642723026533196
exp00000,3,0.001,0.001,20.0,0.11975744880070945,0.09680641819279984
exp00000,4,0.001,0.001,20.0,0.12276246848621801,0.09842522062123633
exp00001,0,0.3215918740544744,0.20176825716568475,69.0,0.12999527045191425,0.1101424032448715
exp00001,1,0.3215918740544744,0.20176825716568475,69.0,0.12972747182087094,0.10724877296838169
exp00001,2,0.3215918740544744,0.20176825716568475,69.0,0.1261927526639527,0.09730407334939147
exp00001,3,0.3215918740544744,0.20176825716568475,69.0,0.13046987772147983,0.10798916274978496
exp00001,4,0.3215918740544744,0.20176825716568475,69.0,0.12677240421439986,0.11663661173208052
exp00002,0,0.1481114034263464,0.19276129096104005,31.0,0.12631776446706852,0.09673964513833075
exp00002,1,0.1481114034263464,0.19276129096104005,31.0,0.12442777425214813,0.10502912308478586
exp00002,2,0.1481114034263464,0.19276129096104005,31.0,0.12774024941720216,0.10806115552344935
exp00002,3,0.1481114034263464,0.19276129096104005,31.0,0.12130867032884456,0.1067815375451653
exp00002,4,0.1481114034263464,0.19276129096104005,31.0,0.12825500807546159,0.10365917482901789
exp00003,0,0.01453523560885124,0.3500759442471583,35.0,0.11892045210511952,0.09962175100148052
exp00003,1,0.01453523560885124,0.3500759442471583,35.0,0.11370597246503765,0.09084127814043433
exp00003,2,0.01453523560885124,0.3500759442471583,35.0,0.11453553485287368,0.07362442665765283
exp00003,3,0.01453523560885124,0.3500759442471583,35.0,0.11771322303635096,0.09476411952098764
exp00003,4,0.01453523560885124,0.3500759442471583,35.0,0.10230305813829856,0.08842923558802658
exp00004,0,0.2965376618221876,0.23067255210228377,89.0,0.12877570575205877,0.10217227468596773
exp00004,1,0.2965376618221876,0.23067255210228377,89.0,0.1265298833278282,0.11165893140544898
exp00004,2,0.2965376618221876,0.23067255210228377,89.0,0.1304719695386762,0.1026710661762475
exp00004,3,0.2965376618221876,0.23067255210228377,89.0,0.12495479755557382,0.1121636081948257
exp00004,4,0.2965376618221876,0.23067255210228377,89.0,0.1252381945239168,0.11147826172039253
exp00005,0,0.7858182845534353,0.6313025705862749,127.0,0.09986287808304413,0.06762965727946602
exp00005,1,0.7858182845534353,0.6313025705862749,127.0,0.10196041875650619,0.0736080502005189
exp00005,2,0.7858182845534353,0.6313025705862749,127.0,0.10089473916401602,0.07488988976333096
exp00005,3,0.7858182845534353,0.6313025705862749,127.0,0.09476844690551108,0.07495712515065818
exp00005,4,0.7858182845534353,0.6313025705862749,127.0,0.09229396945009902,0.07773097162116652
exp00006,0,0.29167177372148356,0.5698323071911701,49.0,0.0988831710485109,0.0779660462279925
exp00006,1,0.29167177372148356,0.5698323071911701,49.0,0.09843024341394062,0.07752972104028404
exp00006,2,0.29167177372148356,0.5698323071911701,49.0,0.10033808721033559,0.0728154175627782
exp00006,3,0.29167177372148356,0.5698323071911701,49.0,0.0998348896732884,0.07635363273113004
exp00006,4,0.29167177372148356,0.5698323071911701,49.0,0.09624465431815919,0.07638294488970503
exp00007,0,0.08580638520344125,0.3113115615431947,24.0,0.12460689360681522,0.09718463003470783
exp00007,1,0.08580638520344125,0.3113115615431947,24.0,0.11929142860805993,0.09418193149506093
exp00007,2,0.08580638520344125,0.3113115615431947,24.0,0.11679761403164661,0.10000279424904511
exp00007,3,0.08580638520344125,0.3113115615431947,24.0,0.12018261312806379,0.10624610832640727
exp00007,4,0.08580638520344125,0.3113115615431947,24.0,0.11443919562864299,0.0938770883908504
exp00008,0,0.37261499670829895,0.7033024072096115,25.0,0.09881093122235676,0.07695592967539985
exp00008,1,0.37261499670829895,0.7033024072096115,25.0,0.08554628071405397,0.07220077045631575
exp00008,2,0.37261499670829895,0.7033024072096115,25.0,0.0973209743458905,0.0771390318430896
exp00008,3,0.37261499670829895,0.7033024072096115,25.0,0.09820462608448767,0.0775591702561096
exp00008,4,0.37261499670829895,0.7033024072096115,25.0,0.09889556672888133,0.057464938697072886
exp00009,0,0.19164713329010552,0.3739594522403396,145.0,0.11196246886972264,0.09803557698748633
exp00009,1,0.19164713329010552,0.3739594522403396,145.0,0.11799275370172202,0.09578428817016336
exp00009,2,0.19164713329010552,0.3739594522403396,145.0,0.12061810013459115,0.10072785889804968
exp00009,3,0.19164713329010552,0.3739594522403396,145.0,0.11673031024351434,0.08167531976743916
exp00009,4,0.19164713329010552,0.3739594522403396,145.0,0.12150033161587993,0.0934694119694355
exp00010,0,0.5626399733023681,0.04781310075487294,108.0,0.1363635741275518,0.11251040427868876
exp00010,1,0.5626399733023681,0.04781310075487294,108.0,0.13581640854423582,0.11592453480801415
exp00010,2,0.5626399733023681,0.04781310075487294,108.0,0.13294056360723802,0.11652035784058357
exp00010,3,0.5626399733023681,0.04781310075487294,108.0,0.12985660744642571,0.12090668514360242
exp00010,4,0.5626399733023681,0.04781310075487294,108.0,0.1343530536876352,0.12112703210059651
exp00011,0,0.5089000780082,0.05602037024541892,67.0,0.13375731438076957,0.11480773452209465
exp00011,1,0.5089000780082,0.05602037024541892,67.0,0.13458343768499642,0.12366680418696258
exp00011,2,0.5089000780082,0.05602037024541892,67.0,0.13741943916751467,0.1195449003273465
exp00011,3,0.5089000780082,0.05602037024541892,67.0,0.1343168985902406,0.11652506667176417
exp00011,4,0.5089000780082,0.05602037024541892,67.0,0.134285188030495,0.11967874977413677
exp00012,0,0.5421624020511251,0.49844360687575173,85.0,0.09823457786740836,0.0784623384392953
exp00012,1,0.5421624020511251,0.49844360687575173,85.0,0.09756779772875095,0.07778389234700346
exp00012,2,0.5421624020511251,0.49844360687575173,85.0,0.09859793036936647,0.07245026767296403
exp00012,3,0.5421624020511251,0.49844360687575173,85.0,0.09952817659723766,0.0716434183767338
exp00012,4,0.5421624020511251,0.49844360687575173,85.0,0.09646931156069442,0.07131400989751273
exp00013,0,0.004835755129665553,0.18006459936409844,105.0,0.1257994119833516,0.1027021746810198
exp00013,1,0.004835755129665553,0.18006459936409844,105.0,0.1281523362695238,0.12429357326062895
exp00013,2,0.004835755129665553,0.18006459936409844,105.0,0.13551643256942592,0.11130274000606143
exp00013,3,0.004835755129665553,0.18006459936409844,105.0,0.1250878076157844,0.11092083108928194
exp00013,4,0.004835755129665553,0.18006459936409844,105.0,0.12977081620666467,0.11327323661135194
exp00014,0,0.7490709159675786,0.4580336591074311,150.0,0.1009783922338823,0.07231196391351777
exp00014,1,0.7490709159675786,0.4580336591074311,150.0,0.09631206037335785,0.07560214639253561
exp00014,2,0.7490709159675786,0.4580336591074311,150.0,0.10078683706045675,0.0783792463477385
exp00014,3,0.7490709159675786,0.4580336591074311,150.0,0.09733473474943323,0.08105822425344143
exp00014,4,0.7490709159675786,0.4580336591074311,150.0,0.09851203038178266,0.07444780053058472
exp00015,0,0.22713295223806487,0.12719961754464504,63.0,0.12429814117611025,0.10306226450964799
exp00015,1,0.22713295223806487,0.12719961754464504,63.0,0.12839296543777673,0.10896446136841138
exp00015,2,0.22713295223806487,0.12719961754464504,63.0,0.12645657059314075,0.10653098032733702
exp00015,3,0.22713295223806487,0.12719961754464504,63.0,0.12539092609122235,0.09789074843065343
exp00015,4,0.22713295223806487,0.12719961754464504,63.0,0.12590150799946154,0.10684461893202894
exp00016,0,0.09348849285669342,0.28779752154976496,126.0,0.12491211539213207,0.08665056247117685
exp00016,1,0.09348849285669342,0.28779752154976496,126.0,0.11197421399392393,0.1064399221462185
exp00016,2,0.09348849285669342,0.28779752154976496,126.0,0.12236330050763997,0.08745576480131123
exp00016,3,0.09348849285669342,0.28779752154976496,126.0,0.11432220040142443,0.10711457625945466
exp00016,4,0.09348849285669342,0.28779752154976496,126.0,0.11754869751219185,0.08150715376729874
