Experiment,user-reg,item-reg,num-factors,NormalizedDCGEvaluator,ndcg_metric.py
exp00000,0.001,0.001,20.0,0.12200547224242145,0.1019031841463961
exp00001,0.3215918740544744,0.20176825716568475,69.0,0.1286315553745235,0.10786420480890202
exp00002,0.1481114034263464,0.19276129096104005,31.0,0.125609893308145,0.10405412722414983
exp00003,0.01453523560885124,0.3500759442471583,35.0,0.11343564811953608,0.08945616218171637
exp00004,0.2965376618221876,0.23067255210228377,89.0,0.12719411013961077,0.10802882843657649
exp00005,0.7858182845534353,0.6313025705862749,127.0,0.09795609047183529,0.07376313880302812
exp00006,0.29167177372148356,0.5698323071911701,49.0,0.09874620913284694,0.07620955249037796
exp00007,0.08580638520344125,0.3113115615431947,24.0,0.11906354900064571,0.09829851049921431
exp00008,0.37261499670829895,0.7033024072096115,25.0,0.09575567581913405,0.07226396818559754
exp00009,0.19164713329010552,0.3739594522403396,145.0,0.11776079291308601,0.0939384911585148
exp00010,0.5626399733023681,0.04781310075487294,108.0,0.1338660414826173,0.11739780283429709
exp00011,0.5089000780082,0.05602037024541892,67.0,0.13487245557080324,0.11884465109646092
exp00012,0.5421624020511251,0.49844360687575173,85.0,0.09807955882469158,0.07433078534670187
exp00013,0.004835755129665553,0.18006459936409844,105.0,0.12886536092895007,0.1124985111296688
exp00014,0.7490709159675786,0.4580336591074311,150.0,0.09878481095978256,0.07635987628756362
exp00015,0.22713295223806487,0.12719961754464504,63.0,0.12608802225954233,0.10465861471361575
exp00016,0.09348849285669342,0.28779752154976496,126.0,0.11822410556146246,0.09383359588909199
exp00017,0.7787741905547286,0.4474342789474194,150.0,0.09884666604789391,0.07635872228518732
exp00018,0.2133131302490763,0.11068234746562484,56.0,0.13283112414500456,0.11522125662141229
exp00019,0.11213330653327841,0.27626060820797504,129.0,0.12289787686077144,0.10162465157653562
exp00020,0.6542623253035831,0.7775705699518618,140.0,0.09792027236097353,0.07381053731802693
exp00021,0.22441847096754766,0.4189704696227813,103.0,0.11918149085210554,0.09532532965454328
exp00022,0.11516124870143413,0.10703574209214936,130.0,0.13261639220799945,0.11335393699359668
exp00023,0.6325220461069607,0.7393191833553503,136.0,0.09827641731306626,0.07643447294016827
exp00024,0.4498087954314627,0.7981406610818617,112.0,0.09734954367943384,0.07324207717789996
exp00025,0.05045305594301474,0.010881087713940002,117.0,0.21707043742378057,0.20055963423730847
exp00026,0.6525554498222734,0.1260361356062279,134.0,0.13087443055527143,0.11158297842202883
exp00027,0.4397541183669139,0.7945491615361613,115.0,0.09734394721225978,0.07318343025433112
exp00028,0.3804004038161324,0.6059517888148568,117.0,0.09881905805060667,0.07615120491396353
exp00029,0.04833004164950788,0.0039800018426499285,88.0,0.21958135157815423,0.20360665499561764
exp00030,0.43945991620923885,0.21765203479075126,98.0,0.12680733975947922,0.10657391922731489
exp00031,0.6821918940701619,0.6408113736752955,120.0,0.09835764249654787,0.07623635276187082
exp00032,0.3775085252631022,0.5454620891651434,95.0,0.09988117412595898,0.07674871881090503
exp00033,0.3416511128152735,0.20606064801798848,75.0,0.12775854559969058,0.10950444316756666
exp00034,0.6910557443219797,0.2509191301778853,79.0,0.10125517859103698,0.07768976022347737
exp00035,0.1653911073651654,0.3401470188872163,140.0,0.12276156883673543,0.09938624715985178
